GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.movie,MovieService,28,71,6,4,5,18,5,6,0,6
ticket-service,com.epam.training.ticketservice.movie,Movie,84,83,21,9,2,5,19,8,4,8
ticket-service,com.epam.training.ticketservice.command,TicketServiceCommandHandler,9,100,2,0,3,27,2,14,1,14
ticket-service,com.epam.training.ticketservice.command,TicketServiceCommandPrompt,0,8,0,0,0,2,0,2,0,2
ticket-service,com.epam.training.ticketservice.screening,Screening,134,88,27,11,2,10,27,7,8,7
ticket-service,com.epam.training.ticketservice.screening,ScreeningService,59,35,6,2,11,5,5,3,1,3
ticket-service,com.epam.training.ticketservice.user,User,98,78,21,9,2,8,21,7,6,7
ticket-service,com.epam.training.ticketservice.user,UserService,3,68,3,5,1,12,3,6,0,5
ticket-service,com.epam.training,Application,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.room,Room,99,75,21,9,2,5,21,6,6,6
ticket-service,com.epam.training.ticketservice.room,RoomService,18,62,4,4,5,13,4,6,0,6
